source,record_id,name,other_names,address,city,state,postal_code,phone,taxonomy,last_updated,latitude,longitude
nppes,1225629017,"GROUP HEALTH, INC.",HEALTHPARTNERS SPECIALTY DENTAL,2500 COMO AVE,SAINT PAUL,MN,55108,651-647-2500,"Dentist, Oral and Maxillofacial Surgery",2026-08-14,,
nppes,1225629017-pl1,"GROUP HEALTH, INC.",HEALTHPARTNERS SPECIALTY DENTAL,8515 EAGLE POINT BLVD STE 200,LAKE ELMO,MN,55042,651-523-9950,"Dentist, Oral and Maxillofacial Surgery",2026-08-14,44.952754720525,-92.929631698793
nppes,1225629017-pl2,"GROUP HEALTH, INC.",HEALTHPARTNERS SPECIALTY DENTAL,8455 FLYING CLOUD DR,EDEN PRAIRIE,MN,55344,952-883-9040,"Dentist, Oral and Maxillofacial Surgery",2026-08-14,44.850225963965,-93.434356676454
nppes,1225629017-pl3,"GROUP HEALTH, INC.",HEALTHPARTNERS SPECIALTY DENTAL,8600 NICOLLET AVE S,BLOOMINGTON,MN,55420,952-541-2888,"Dentist, Oral and Maxillofacial Surgery",2026-08-14,44.847881872495,-93.278493009994
nppes,1316538101,"GROUP HEALTH, INC.",HEALTHPARTNERS PEDIATRIC DENTAL,205 WABASHA ST S,SAINT PAUL,MN,55107,651-293-8300,"Dentist, Pediatric Dentistry",2026-08-14,44.937268517691,-93.087772526408
nppes,1316538101-pl1,"GROUP HEALTH, INC.",HEALTHPARTNERS PEDIATRIC DENTAL,5901 JOHN MARTIN DR,BROOKLYN CENTER,MN,55430,763-585-8700,"Dentist, Pediatric Dentistry",2026-08-14,45.063737237841,-93.308781321977
nppes,1316538101-pl2,"GROUP HEALTH, INC.",HEALTHPARTNERS PEDIATRIC DENTAL,8515 EAGLE POINT BLVD STE 200,LAKE ELMO,MN,55042,651-523-9950,"Dentist, Pediatric Dentistry",2026-08-14,44.952754720525,-92.929631698793
nppes,1316538101-pl3,"GROUP HEALTH, INC.",HEALTHPARTNERS PEDIATRIC DENTAL,15290 PENNOCK LN,APPLE VALLEY,MN,55124,952-431-8583,"Dentist, Pediatric Dentistry",2026-08-14,44.72945408913,-93.222600395602
nppes,1013062462,"GROUP HEALTH, INC.",HEALTHPARTNERS INVER GROVE DENTAL CLINIC,5625 CENEX DR,INVER GROVE,MN,55077,651-552-1752,"Dentist, General Practice",2026-08-14,44.868032299874,-93.061886903175
nppes,1083789507,"GROVE ENDODONTICS, P.A.",,"8811 92ND ST S, SUITE 109",COTTAGE GROVE,MN,55016,651-768-8180,"Dentist, Endodontics",2020-08-22,44.815517867169,-92.914779737349
nppes,1992868921,HARMS-TRI DENTAL,RIVERS EDGE DENTAL CLINIC,213 1ST ST,FARMINGTON,MN,55024,651-463-7777,"Dentist, General Practice",2008-01-22,44.641377706671,-93.148478048517
nppes,1790822690,HASTINGS DENTAL ASSOCIATES,,106 6TH ST W,HASTINGS,MN,55033,651-437-9812,"Dentist, General Practice",2020-08-22,44.740338715898,-92.852775944699
nppes,1295284701,HENSELER ORTHODONTICS,,2850 CURVE CREST BLVD W,STILLWATER,MN,55082,651-439-8909,"Dentist, Orthodontics and Dentofacial Orthopedics",2016-09-26,45.036942513511,-92.849031536499
nppes,1134284631,HUGO DENTAL CARE PA,,5677 147TH ST N,HUGO,MN,55038,651-426-1639,Dentist,2020-08-22,45.163478179981,-92.991777943407
nppes,1730734708,IDEAL DENTAL PLLC,,2130 CLIFF RD STE 107,EAGAN,MN,55122,651-452-3112,"Dentist, General Practice",2019-08-07,44.790150983491,-93.216190500761
nppes,1417070509,IMMANUEL DENTAL,,321 THIRD STREET,FARMINGTON,MN,55024,651-463-2880,Dentist,2022-03-25,44.640112109156,-93.145110474787
nppes,1255491866,"INTEGRITY DENTAL CARE, P.A.",,7500 80TH ST S,COTTAGE GROVE,MN,55016,651-459-3039,Dentist,2008-01-02,44.83371595312,-92.954310757125
nppes,1578781050,"INTEGRITY DENTAL CARE, P.A.",,126 MAIN ST N,STILLWATER,MN,55082,651-439-3637,"Dentist, General Practice",2008-01-02,45.056796731108,-92.806323879204
nppes,1720621451,ISLA PLLC,WASHINGTON SQUARE DENTAL,4754 WASHINGTON SQ,WHITE BEAR LAKE,MN,55110,651-353-6652,"Dentist, General Practice",2019-10-25,45.085262962912,-93.008995218779
nppes,1255136560,"JOSEPH HORST, DDS, PLLC",,5972 CAHILL AVE STE 109,INVER GROVE HEIGHTS,MN,55076,651-450-1602,"Dentist, General Practice",2025-03-03,44.863370304669,-93.042259434033
nppes,1124618962,JT DENTAL GROUP PLLC,,15180 CHIPPENDALE AVE W,ROSEMOUNT,MN,55068,651-423-1900,"Dentist, General Practice",2021-01-26,44.728265566715,-93.136362800193
nppes,1568569416,KATHERINE V. CONWAY D.D.S. P. A,HASTINGS FAMILY DENTAL CARE,"955 HIGHWAY 55, SUITE 6",HASTINGS,MN,55033,651-437-9764,"Dentist, General Practice",2015-05-28,44.738221755737,-92.864014157413
nppes,1811314172,KRISTIN A NELSON DDS PA,,15031 CRESTONE AVE W,ROSEMOUNT,MN,55068,651-322-7373,"Dentist, General Practice",2014-03-25,44.731059351164,-93.144151579325
nppes,1881849636,LAKE MARION DENTAL CARE,,19950 DODD BLVD,LAKEVILLE,MN,55044,952-985-8885,"Dentist, General Practice",2008-11-20,44.660697102933,-93.252701603388
nppes,1255490389,LAKES DENTAL ASSOC PA,LAKES DENTAL CLINIC,956 WEST BROADWAY,FOREST LAKE,MN,55025,651-464-7277,Dentist,2020-08-22,45.279297371846,-92.995810444321
nppes,1053614867,"LAKEVILLE DENTAL ASSOCIATES, PA",,20171 ICENIC TRL,LAKEVILLE,MN,55044,952-469-3300,"Dentist, General Practice",2011-10-17,44.657699511332,-93.254841685475
nppes,1063288017,"LAKEVILLE FAMILY DENTAL CENTER, P.L.L.C.",,16372 KENRICK AVE STE 200,LAKEVILLE,MN,55044,952-435-5905,"Dentist, General Practice",2023-11-30,44.712320754834,-93.279837783108
nppes,1255442620,LAKEVILLE FAMILY DENTAL CENTRE PA,,16375 KENRICK AVE STE 200,LAKEVILLE,MN,55044,952-435-5905,"Dentist, General Practice",2020-08-22,44.712265471874,-93.281492913468
nppes,1003093485,LAKEVILLE ORTHODONTIC ASSOCIATES LLC,,"10440 185TH ST W, SUITE 300",LAKEVILLE,MN,55044,952-435-4000,"Dentist, Orthodontics and Dentofacial Orthopedics",2008-01-28,44.681313135433,-93.277013996859
nppes,1710108022,LAND OF LAKES ENDODONTICS PA,,2850 CURVE CREST BLVD W STE 115,STILLWATER,MN,55082,651-439-8764,"Dentist, Endodontics",2016-02-16,45.036942513511,-92.849031536499
nppes,1235583832,"LE M. HO, D.D.S., P.A.",ROSEMOUNT FAMILY DENTISTRY,14590 S ROBERT TRL,ROSEMOUNT,MN,55068,651-423-3993,"Dentist, General Practice",2016-04-20,44.738115225817,-93.12600723397
nppes,1083178149,LIFT DENTAL PLLC,,124 2ND ST S STE 101,STILLWATER,MN,55082,651-439-4945,"Dentist, Dental Public Health",2019-03-01,45.056090209071,-92.807502157378
nppes,1720647589,LINDGREN DENTAL CARE PLLC,LINDGREN DENTAL CARE,6936 PINE ARBOR DR S STE 210,COTTAGE GROVE,MN,55016,651-769-1000,"Dentist, General Practice",2019-06-06,44.849229364135,-92.950538308273
nppes,1124262514,LINO LAKES FAMILY DENTISTRY,,591 APOLLO DR,LINO LAKES,MN,55014,651-786-7630,"Dentist, General Practice",2009-04-29,45.182285469272,-93.115623165255
nppes,1275969263,MAHTOMEDI DENTAL P.C.,GRACE DENTAL,12425 55TH ST N,LAKE ELMO,MN,55042,651-430-1020,Dentist,2013-09-23,45.028700325068,-92.854888598583
nppes,1447193297-pl1,MCFARLAND PLLC,,7501 80TH ST S STE 110,COTTAGE GROVE,MN,55016,651-459-7888,"Dentist, General Practice",2026-04-14,44.833485121878,-92.953880506974
nppes,1447193297-pl2,MCFARLAND PLLC,,8414 FILLMORE ST NE,SPRING LAKE PARK,MN,55432,763-792-6672,"Dentist, General Practice",2026-04-14,45.120648300976,-93.243380059692
nppes,1326650961,MCGANN FAMILY DENTAL,MCGANN FAMILY DENTAL,8981 33RD ST N,LAKE ELMO,MN,55042,651-777-1337,Dentist,2020-08-17,,
nppes,1316913411,"METRO DENTALCARE, PLC",,17597 CEDAR AVE,LAKEVILLE,MN,55044,952-431-6600,Dentist,2020-08-22,,
nppes,1477634343,"METROPOLITAN ENDODONTICS, LTD.",,2125 UPPER 55TH ST E,INVER GROVE HEIGHTS,MN,55077,952-435-0370,"Dentist, Endodontics",2013-03-20,44.86632862206,-93.064446563234
nppes,1760686984,MILLIREN FAMILY DENTISTRY,,"925 HIGHWAY 55, SUITE 102",HASTINGS,MN,55033,651-437-7844,"Dentist, General Practice",2020-08-22,44.738227446136,-92.863359458175
nppes,1114781739,"MINNESOTA DENTAL PROFESSIONALS, P.C.",BLUE HERON DENTAL CARE,601 APOLLO DR STE 110,LINO LAKES,MN,55014,763-542-3765,"Dentist, General Practice",2024-07-24,,
nppes,1619451192,"MINNESOTA DENTAL PROFESSIONALS, P.C.",SOUTHWEST DENTAL CARE,107 12TH ST SW STE 2,FOREST LAKE,MN,55025,612-261-4998,"Dentist, General Practice",2018-12-17,45.27812534003,-92.998722188843
nppes,1043715204,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PILOT KNOB DENTAL CARE,16138 PILOT KNOB RD,LAKEVILLE,MN,55044,952-679-7779,Dentist,2018-06-05,44.715479583471,-93.1767263201
nppes,1043715204-pl1,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PILOT KNOB DENTAL CARE,16138 PILOT KNOB RD,LAKEVILLE,MN,55044,612-354-8875,Dentist,2018-06-05,44.715479583471,-93.1767263201
nppes,1427623966,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PINE ARBOR DENTAL CARE,6939 PINE ARBOR DR S STE 104,COTTAGE GROVE,MN,55016,651-459-3514,"Dentist, General Practice",2021-05-26,44.849139635448,-92.950428075607
nppes,1578505152,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,3100 WOODBURY DR,WOODBURY,MN,55129,651-714-4987,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.905344171906,-92.903517020838
nppes,1578505152-pl1,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,1004 DIFFLEY RD STE 400,EAGAN,MN,55123,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.804556671864,-93.139289232057
nppes,1578505152-pl2,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,14643 MERCANTILE DR N STE 113,HUGO,MN,55038,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,,
nppes,1578505152-pl3,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,1004 DIFFLEY RD STE 400,EAGAN,MN,55123,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.804556671864,-93.139289232057
nppes,1578505152-pl4,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,14643 MERCANTILE DR N STE 113,HUGO,MN,55038,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,,
nppes,1578505152-pl5,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,750 MAIN ST STE 217,MENDOTA HEIGHTS,MN,55118,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.88467233172,-93.120716565629
nppes,1578505152-pl6,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,16106 PILOT KNOB RD STE 120,LAKEVILLE,MN,55044,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.715973746657,-93.176733001207
nppes,1578505152-pl7,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,7864 CENTURY BLVD,CHANHASSEN,MN,55317,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.862376738311,-93.5909092083
nppes,1962645051,MINNESOTA ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS PA,,1745 N FRONTAGE RD,HASTINGS,MN,55033,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2021-02-03,44.739393158993,-92.890782938748
nppes,1699918789,MINNESOTA ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS PA,,7810 CAHILL AVE,INVER GROVE HEIGHTS,MN,55076,651-450-7273,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-15,44.836157051212,-93.042302314523
nppes,1437403953,"MODERN CARE ENDODONTICS, LLC",,18572 JOPLIN AVENUE,LAKEVILLE,MN,55044,952-920-4400,"Dentist, Endodontics",2012-11-06,44.680553465915,-93.280596475563
nppes,1861714792,MODERN DENTAL PROFESSIONALS MINNESOTA PC,MIDWEST DENTAL,"925 HIGHWAY 55, SUITE #102",HASTINGS,MN,55033,651-437-7844,Dentist,2010-02-19,44.738227446136,-92.863359458175
nppes,1952546160,"MODERN DENTAL PROFESSIONALS, MINNESOTA PC",MIDWEST DENTAL - SOUTH ST. PAUL,680 SOUTHVIEW BLVD.,SOUTH SAINT PAUL,MN,55075,651-455-2297,"Dentist, General Practice",2008-12-03,44.888951426695,-93.042099309047
nppes,1104147735,"MODERN DENTAL PROFESSIONALS, MINNESOTA PC",MIDWEST DENTAL,1853 MAIN ST,CENTERVILLE,MN,55038,651-653-3272,Dentist,2010-06-17,45.163983235221,-93.04844410731
nppes,1770939613,"MODERN DENTAL PROFESSIONALS, MN PC",MIDWEST DENTAL FARMINGTON,"20700 CHIPPENDALE AVE W, SUITE 10",FARMINGTON,MN,55024,651-315-8229,"Dentist, General Practice",2016-05-10,44.648176967471,-93.136584363049
nppes,1467112037,"NATHAN J. JENSEN, DMD, PLLC",FILSON GENTLE DENTISTRY,277 3RD ST N,BAYPORT,MN,55003,651-439-2352,Dentist,2021-12-23,45.018331803474,-92.779643175564
nppes,1225788953,"NORTHLAND DENTAL PARTNERS, PLLC",CEDARVIEW DENTAL CARE,17597 CEDAR AVE,LAKEVILLE,MN,55044,952-431-6600,"Dentist, General Practice",2025-11-21,,
nppes,1366190738,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE: INVER GROVE HEIGHTS,9042 CAHILL AVE,INVER GROVE HEIGHTS,MN,55076,651-457-8282,"Dentist, General Practice",2022-03-15,,
nppes,1568110997,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE LAKELAND,44 SAINT CROIX TRL S STE 100,LAKELAND,MN,55043,651-436-5177,"Dentist, General Practice",2022-03-15,44.94905508288,-92.771012086455
nppes,1265180699,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE LAKEVILLE IDEALIC,20143 IDEALIC AVE,LAKEVILLE,MN,55044,952-303-7012,"Dentist, General Practice",2022-03-15,44.657657108662,-93.249795292542
nppes,1578211991,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE COTTAGE GROVE,7430 80TH ST S STE 201,COTTAGE GROVE,MN,55016,651-459-2232,"Dentist, General Practice",2022-03-15,44.833689998652,-92.956572113189
nppes,1023173531,OAKRIDGE DENTAL CENTER,,13481 60TH ST N,STILLWATER,MN,55082,651-430-9990,"Dentist, General Practice",2020-08-22,45.035757385211,-92.834021604912
nppes,1063974780,"ODONTOTECH, PC",LEON ORTHODONTICS,5870 BLACKSHIRE PATH,INVER GROVE HEIGHTS,MN,55076,651-433-7200,"Dentist, Orthodontics and Dentofacial Orthopedics",2019-05-13,44.863403491677,-93.054456278789
nppes,1487245239,ORCHIN SMILES PLLC,,1395 CURVE CREST BLVD W,STILLWATER,MN,55082,516-333-6162,"Dentist, Orthodontics and Dentofacial Orthopedics",2021-02-02,,
nppes,1609990449,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,310 DIVISION ST,FARMINGTON,MN,55024,651-463-2800,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-07-21,44.640252704779,-93.150765446745
nppes,1386768851,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,5625 CENEX DR,INVER GROVE HEIGHTS,MN,55077,651-552-2675,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-07-21,44.868032299874,-93.061886903175
nppes,1477677946,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,8980 HUDSON BLVD N,LAKE ELMO,MN,55042,651-501-1467,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-07-21,44.94925487066,-92.924032897307
nppes,1316062557,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,14455 SOUTH ROBERT TRAIL,INVER GROVE HEIGHTS,MN,55068,651-423-6302,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-07-21,44.740043423251,-93.126157904777
nppes,1649692864,"ORTHODONTIC CARE SPECIALISTS, PLLC",ORTHODONTIC CARE SPECIALISTS,20143 IDEALIC AVE.,LAKEVILLE,MN,55044,952-432-2682,"Dentist, Orthodontics and Dentofacial Orthopedics",2014-01-07,44.657657108662,-93.249795292542
nppes,1023681152,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,650 COMMERCE DR STE 170,WOODBURY,MN,55125,651-738-3866,"Dentist, Orthodontics and Dentofacial Orthopedics",2023-08-30,,
nppes,1023681152-pl1,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,6936 PINE ARBOR DR S STE 220,COTTAGE GROVE,MN,55016,651-738-3866,"Dentist, Orthodontics and Dentofacial Orthopedics",2023-08-30,44.849229364135,-92.950538308273
nppes,1538219746,ORTHODONTIC SPECIALISTS,JEANNE M GAU,"20174 HERITAGE DRIVE, LAKEVILLE",LAKEVILLE,MN,55044,952-469-6760,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-08-22,44.657374330586,-93.247867019613
nppes,1295227247,"ORTHODONTIC SPECIALISTS OF MINNESOTA, P.L.L.C.",THE DENTAL SPECIALISTS- ORTHODONTICS,8650 HUDSON BLVD N STE 105,LAKE ELMO,MN,55042,651-268-2992,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-10-28,44.949239035161,-92.923743954356
nppes,1760540280,"PDG, P.A",PARK DENTAL,8980 HUDSON BLVD N,LAKE ELMO,MN,55042,651-735-9057,"Dentist, General Practice",2020-10-28,44.94925487066,-92.924032897307
nppes,1710045117,"PDG, P.A.",PARK DENTAL,5350 S ROBERT TRL,INVER GROVE HEIGHTS,MN,55077,651-450-9579,"Dentist, General Practice",2020-10-28,44.871469920092,-93.080317586767
nppes,1497348239-pl1,PERIODONTAL CENTER,THE PERIODONTAL CENTER,7791 79TH ST S,COTTAGE GROVE,MN,55016,715-690-3050,"Dentist, Periodontics",2021-02-12,44.835018730399,-92.949582701214
nppes,1720199953,PETERSEN FAMILY DENTAL CLINIC PA,ELKO-NEW MARKET DENTAL CLINIC,"9202 202ND ST W, SUITE 201",LAKEVILLE,MN,55044,952-469-2818,"Dentist, General Practice",2020-08-22,44.655927579637,-93.251183111695
