pair_key,a_source,a_record_id,a_name,a_other_names,a_address,a_postal_code,a_phone,b_source,b_record_id,b_name,b_other_names,b_address,b_postal_code,b_phone,distance_m
nppes:1396340642|nppes:1891079851,nppes,1396340642,"MINNESOTA DENTAL PROFESSIONALS, P.C.",MOSAIC DENTAL-BURNSVILLE/RIDGES,625 E NICOLLET BLVD STE 201,55337,952-435-0300,nppes,1891079851,"BURNSVILLE DENTAL, P.A.",NORTHSTAR DENTAL CLINIC,675 E NICOLLET BLVD STE 120,55337,952-892-7700,66
nppes:1780327411|nppes:1871241505,nppes,1780327411,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS BURNSVILLE,14344 BURNHAVEN DR,55306,952-435-5715,nppes,1871241505,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER BURNSVILLE - ENDODONTICS,14344 BURNHAVEN DR,55306,612-638-1238,0
nppes:1245393230|nppes:1255974325-pl4,nppes,1245393230,"LAKES ORTHODONTIC ASSOCIATES, P.A.",,1668 COPE AVE E,55109,651-777-7300,nppes,1255974325-pl4,SMILE DOCTORS OF MINNESOTA PC,,1668 COPE AVE E,55109,651-777-7300,0
nppes:1154971380|nppes:1710344494,nppes,1154971380,GENTLE DENTISTRY OF BLOOMINGTON PLLC,,10611 FRANCE AVE S STE 201,55431,952-881-8404,nppes,1710344494,"BLOOMINGTON SMILES DENTISTRY, PC",BLOOMINGTON SMILES DENITSTRY,"10700 FRANCE AVENUE, SUITE 102",55437,952-679-3531,134
nppes:1518616614|nppes:1679673867,nppes,1518616614,"NORTHLAND DENTAL PARTNERS, PLLC",MN DENTALCARE,6601 LYNDALE AVE S STE 230,55423,612-866-1234,nppes,1679673867,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE RICHFIELD,6601 LYNDALE AVE S STE 220A,55423,612-866-1234,0
nppes:1497404818|nppes:1598413239,nppes,1497404818,"FAMILY ORAL SURGERY SPECIALISTS, PLC",METRO DENTALCARE SPECIALTY CENTER MAPLE GROVE - ORAL SURGERY,15785 95TH AVE N,55369,763-233-4141,nppes,1598413239,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER MAPLE GROVE - ENDODONTICS,15785 95TH AVE N,55369,763-233-4140,0
nppes:1689722639|nppes:1932256344,nppes,1689722639,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",,"2200 COUNTY ROAD C W, SUITE 2210",55113,651-633-0500,nppes,1932256344,"PDG,P.A.",PARK DENTAL,"2200 COUNTY ROAD C W, SUITE 2210",55113,651-633-0500,0
nppes:1639214547|nppes:1679705404,nppes,1639214547,DR RICHARD E BRIMACOMB,,"8900 PENN AVE S, #112",55431,952-888-1311,nppes,1679705404,ROY KRENGEL DDS PA,,"8900 PENN AVE S, SUITE #112",55431,952-888-1311,0
nppes:1598865651|nppes:1679673867,nppes,1598865651,FAMILY ORAL SURGERY SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER RICHFIELD - ORAL SURGERY,6601 LYNDALE AVE S STE 230,55423,612-861-9123,nppes,1679673867,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE RICHFIELD,6601 LYNDALE AVE S STE 220A,55423,612-866-1234,0
nppes:1023664935-pl1|nppes:1255974325-pl8,nppes,1023664935-pl1,"ESTEE WANG, DMD MS, PLLC",LAKES ORTHODONTICS,4535 HODGSON RD STE 700,55126,651-765-1945,nppes,1255974325-pl8,SMILE DOCTORS OF MINNESOTA PC,,4535 HODGSON RD STE 700,55126,651-765-1945,0
nppes:1033392014|nppes:1083331771,nppes,1033392014,ROBERT K. PETERSON DDS PA,,"7300 FRANCE AVE S, #110",55435,952-831-0414,nppes,1083331771,GEETA SUKHANI PLLC,,7300 FRANCE AVE S STE 110,55435,952-831-0414,0
nppes:1194328914|nppes:1457411753,nppes,1194328914,"MAGNOLIA DENTAL CARE, PLLC",,6545 FRANCE AVE S STE 270,55435,952-927-7744,nppes,1457411753,JEROME E. EUTENEUER DDS PA,,"6545 FRANCE AVE S, SUITE 270",55435,952-927-7744,0
nppes:1013153352|nppes:1184770851,nppes,1013153352,ASSOCIATED DENTISTS SHOLOM HOME,,"1371 7TH ST W, SUITE B",55102,651-488-5557,nppes,1184770851,ASSOCIATED DENTISTS,,1371 7TH ST W,55102,651-222-0351,0
nppes:1619064243|nppes:1821451774,nppes,1619064243,CHARLES E KATH DDS PA,,"1021 BANDANA BLVD E, SUITE 100",55108,651-645-0449,nppes,1821451774,"EDLUND DENTAL, LLC",,"1021 BANDANA BLVD E, SUITE #105",55108,651-645-0449,0
nppes:1679142673|nppes:1740215656,nppes,1679142673,ALEX W SCOTT DMD PLLC,GLEN LAKE FAMILY DENTISTRY,"5509 EDEN PRAIRIE ROAD, SUITE A",55345,952-938-6038,nppes,1740215656,GLEN LAKE FAMILY DENTISTRY P.L.L.C.,NONE,5509 EDEN PRAIRIE RD,55345,952-938-6038,0
nppes:1013933381|nppes:1013933381-pl2,nppes,1013933381,SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,SHAKOPEE DAKOTA CLINIC,2330 SIOUX TRL NW,55372,952-496-6150,nppes,1013933381-pl2,SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,SHAKOPEE DAKOTA CLINIC,2360 SIOUX TRL NW,55372,952-233-2886,107
nppes:1760686984|nppes:1861714792,nppes,1760686984,MILLIREN FAMILY DENTISTRY,,"925 HIGHWAY 55, SUITE 102",55033,651-437-7844,nppes,1861714792,MODERN DENTAL PROFESSIONALS MINNESOTA PC,MIDWEST DENTAL,"925 HIGHWAY 55, SUITE #102",55033,651-437-7844,0
nppes:1174872949|nppes:1285350736-pl1,nppes,1174872949,SHAMBLOTT FAMILY DENTISTRY,,"33 10TH AVE S, SUITE 250",55343,952-935-5599,nppes,1285350736-pl1,SHAMBLOTT FAMILY DENTAL CENTER PLLC,DENTAL CARE ALLIANCE,33 10TH AVE S STE 250,55343,651-222-6880,0
nppes:1225788953|nppes:1316913411,nppes,1225788953,"NORTHLAND DENTAL PARTNERS, PLLC",CEDARVIEW DENTAL CARE,17597 CEDAR AVE,55044,952-431-6600,nppes,1316913411,"METRO DENTALCARE, PLC",,17597 CEDAR AVE,55044,952-431-6600,
nppes:1598865651|nppes:1639815434,nppes,1598865651,FAMILY ORAL SURGERY SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER RICHFIELD - ORAL SURGERY,6601 LYNDALE AVE S STE 230,55423,612-861-9123,nppes,1639815434,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS RICHFIELD,6602 LYNDALE AVE S STE 230A,55423,612-869-8834,13
nppes:1356586804|nppes:1396089298,nppes,1356586804,"STANLEY P. WILLIAMSON, D.D.S., P.A.",WILLIAMSON ORTHODONTICS,5101 VERNON AVE S STE 502,55436,952-926-3747,nppes,1396089298,PAN ORTHODONTIC CLINICS,,"5101 VERNON AVE S, SUITE 502",55436,952-926-3747,0
nppes:1902398944|nppes:1922308113,nppes,1902398944,"ORTHODONTIC SPECIALISTS OF MINNESOTA, P.L.L.C.",THE DENTAL SPECIALISTS- ORTHODONTICS,12904 CENTRAL AVE NE,55434,763-201-6960,nppes,1922308113,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS,12904 CENTRAL AVE. NE,55434,651-746-0587,0
nppes:1679673867|nppes:1720188998,nppes,1679673867,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE RICHFIELD,6601 LYNDALE AVE S STE 220A,55423,612-866-1234,nppes,1720188998,"METRO DENTALCARE, PLC",,"6601 LYNDALE AVE S, SUITE 220",55423,612-861-9123,0
nppes:1558010967|nppes:1730837105,nppes,1558010967,FAMILY ORAL SURGERY SPECIALISTS PLC,METRO DENTALCARE ST. PAUL MIDWAY - ORAL SURGERY,1375 SAINT ANTHONY AVE,55104,651-286-8153,nppes,1730837105,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE ST. PAUL MIDWAY,1375 SAINT ANTHONY AVE,55104,651-645-4671,0
nppes:1255639696|nppes:1437369105,nppes,1255639696,MODERN DENTAL PROFESSIONALS MINNESOTA PC,MIDWEST DENTAL,"1121 TOWN CENTRE DR, #200",55123,651-454-4771,nppes,1437369105,SMILE DESIGN FAMILY DENTISTRY,,1121 TOWN CENTRE DR STE 200,55123,651-454-4771,0
nppes:1629560677|nppes:1912143843,nppes,1629560677,"ORTHODONTIC SPECIALISTS OF MINNESOTA, P.L.L.C.",THE DENTAL SPECIALISTS- ORTHODONTICS,9325 UPLAND LN N STE 330,55369,763-657-2515,nppes,1912143843,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS,"9325 UPLAND LN N, SUITE 330",55369,763-416-0037,0
nppes:1063512234|nppes:1861140501,nppes,1063512234,"FAMILY PERIODONTIC SPECIALISTS, PLC",METRO DENTALCARE SPECIALTY CENTER RICHFIELD - PERIODONTICS,6601 LYNDALE AVE S STE 220,55423,612-861-9123,nppes,1861140501,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER RICHFIELD - ENDODONTICS,6601 LYNDALE AVE S STE 230A,55423,612-638-1206,0
nppes:1326797713|nppes:1780327411,nppes,1326797713,"FAMILY PERIODONTIC SPECIALISTS, PLC",METRO DENTALCARE SPECIALTY CENTER BURNSVILLE - PERIODONTICS,14344 BURNHAVEN DR,55306,612-638-1238,nppes,1780327411,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS BURNSVILLE,14344 BURNHAVEN DR,55306,952-435-5715,0
nppes:1184046385|nppes:1881060069,nppes,1184046385,"MARK CHARLES WALLACE, DDS, PC",ADVANCED DENTAL GROUP,3909 SILVER LAKE RD NE,55421,612-789-3573,nppes,1881060069,"MODERN DENTAL PROFESSIONALS, MN PC",MIDWEST DENTAL,3909 SILVER LAKE RD NE,55421,612-789-3573,0
nppes:1043300262|nppes:1982961942,nppes,1043300262,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS LTD,14605 GLAZIER AVE. S.,55124,952-432-1103,nppes,1982961942,"ORTHODONTIC CARE SPECIALISTS, PLLC",,14605 GLAZIER AVE,55124,952-891-8635,0
nppes:1467877001|nppes:1588730394,nppes,1467877001,APPLEWOOD FAMILY DENTAL,,1740 WEIR DR,55125,651-738-2125,nppes,1588730394,"AZITA LARINAJAFI, INC",,1740 WEIR DRIVE,55125,651-738-2125,0
nppes:1073063103|nppes:1659039444,nppes,1073063103,"MINNESOTA DENTAL PROFESSIONALS, P.C.",DENTAL ARTS OF MINNEAPOLIS,"825 NICOLLET MALL, STE 425",55402,612-332-7675,nppes,1659039444,MINNEAPOLIS DENTAL PROFESSIONALS LLC,,825 NICOLLET MALL STE 939,55402,612-338-1255,0
nppes:1821498858|nppes:1891079851,nppes,1821498858,SARAH L CARLSON DDS PA,NORTHSTAR DENTAL CLINIC,675 E NICOLLET BLVD STE 120,55337,952-892-7700,nppes,1891079851,"BURNSVILLE DENTAL, P.A.",NORTHSTAR DENTAL CLINIC,675 E NICOLLET BLVD STE 120,55337,952-892-7700,0
nppes:1093468852|nppes:1194949511,nppes,1093468852,"UNIVERSITY AVE DENTAL, PLLC",,10155 UNIVERSITY AVE NE STE 112,55434,763-784-1242,nppes,1194949511,DON BLAKESLEE DDS PA,BLAKESLEE DENTAL,"10155 UNIVERSITY AVE NE, STE 112",55434,763-784-1242,0
nppes:1578505152-pl4|nppes:1619496700,nppes,1578505152-pl4,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,14643 MERCANTILE DR N STE 113,55038,651-450-7273,nppes,1619496700,ROGERS MINNESOTA ORTHODONTICS PLLC,ROGERS MINNESOTA ORTHODONTICS,13690 ROGERS DR STE 100,55374,651-450-7273,
nppes:1023664935-pl1|nppes:1760583231,nppes,1023664935-pl1,"ESTEE WANG, DMD MS, PLLC",LAKES ORTHODONTICS,4535 HODGSON RD STE 700,55126,651-765-1945,nppes,1760583231,ALAN B MONTGOMERY ORTHODONTICS,,"4535 HODGSON RD, 700",55126,651-765-1945,0
nppes:1528997830|nppes:1962460881,nppes,1528997830,LINDSAY BEVIS PLLC,,425 2ND ST,55331,952-474-6133,nppes,1962460881,"TOWN DENTAL, PA",,425 2ND ST,55331,952-474-6133,0
nppes:1043955412|nppes:1831528447,nppes,1043955412,CREEKSIDE DENTAL PLLC,,3340 REPUBLIC AVE STE 130,55426,763-442-7624,nppes,1831528447,"PATRICK J. FOY DDS,PA",CREEKSIDE DENTAL,"3340 REPUBLIC AVE, STE 130",55426,952-938-2740,0
nppes:1154763688|nppes:1831665603,nppes,1154763688,"ALL ABOUT SMILES, INC",,1611 COUNTY HIGHWAY 10,55432,763-717-3989,nppes,1831665603,WHITE SMILES FAMILY DENTISTRY PLLC,,1611 COUNTY HWY 10,55432,763-717-3989,
nppes:1265606248|nppes:1740402932,nppes,1265606248,"TRENT M. ANDERSON, D.D.S., P.L.L.C.",SUN RAY FAMILY DENTAL,1871 OLD HUDSON RD,55119,651-738-0900,nppes,1740402932,DR. JERRY BARNES,,1871 OLD HUDSON RD,55119,651-738-0900,0
nppes:1376619114|nppes:1821362302,nppes,1376619114,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS,"6545 FRANCE AVE S, SUITE 366",55435,952-929-4319,nppes,1821362302,"ORTHODONTIC SPECIALISTS OF MINNESOTA, P.L.L.C.",THE DENTAL SPECIALISTS - ORTHODONTICS,"6545 FRANCE AVE S, SUITE 381",55435,952-926-7766,0
nppes:1619259181|nppes:1851459887,nppes,1619259181,CEDAR ISLAND DENTAL,,7378 KIRKWOOD CT N,55369,763-391-7600,nppes,1851459887,"WILLIAM J. DUNLAP, D.D.S., P.A.",CEDAR ISLAND DENTAL,7378 KIRKWOOD CT,55369,763-391-7600,0
nppes:1336575539|nppes:1730734708,nppes,1336575539,SCOTT L BJERKE DDS PA,,"2130 CLIFF RD, SIUTE 107",55122,651-452-3112,nppes,1730734708,IDEAL DENTAL PLLC,,2130 CLIFF RD STE 107,55122,651-452-3112,0
nppes:1639815434|nppes:1861140501,nppes,1639815434,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS RICHFIELD,6602 LYNDALE AVE S STE 230A,55423,612-869-8834,nppes,1861140501,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER RICHFIELD - ENDODONTICS,6601 LYNDALE AVE S STE 230A,55423,612-638-1206,13
nppes:1134862865|nppes:1194474593,nppes,1134862865,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS MIDWAY - ST. PAUL,1375 SAINT ANTHONY AVE,55104,651-286-8153,nppes,1194474593,"FAMILY PERIODONTIC SPECIALISTS, PLC",METRO DENTALCARE ST. PAUL MIDWAY - PERIODONTICS,1375 SAINT ANTHONY AVE,55104,651-645-4671,0
nppes:1164040457|nppes:1649867334,nppes,1164040457,COLBY ORTHODONTICS LLC,,9TH ST. AND NICOLLET AVE. SUITE 531,55402,612-332-4344,nppes,1649867334,MSP ORTHODONTICS PLLC,,825 NICOLLET MALL STE 531,55402,612-332-4344,93
nppes:1063512234|nppes:1720188998,nppes,1063512234,"FAMILY PERIODONTIC SPECIALISTS, PLC",METRO DENTALCARE SPECIALTY CENTER RICHFIELD - PERIODONTICS,6601 LYNDALE AVE S STE 220,55423,612-861-9123,nppes,1720188998,"METRO DENTALCARE, PLC",,"6601 LYNDALE AVE S, SUITE 220",55423,612-861-9123,0
nppes:1134507718|nppes:1720772791,nppes,1134507718,DJCM PLLC,,5524 NICOLLET AVE,55419,612-823-1816,nppes,1720772791,TAXPAYER NAME: MORGANDIA D.C./DOING BUSINESS AS CITY IF LAKES DENTAL,,5524 NICOLLET AVE.,55419,612-823-1816,0
nppes:1447350509|nppes:1639815434,nppes,1447350509,"FAMILY ORTHODONTIC SPECIALISTS, PLC",WOODLAKE ORTHODONTICS RICHFIELD,6601 LYNDALE AVE S STE 240,55423,612-861-9123,nppes,1639815434,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS RICHFIELD,6602 LYNDALE AVE S STE 230A,55423,612-869-8834,13
nppes:1073461810|nppes:1376222547,nppes,1073461810,"TWIN CITIES CHILDREN'S ANESTHESIA DENTISTRY, PLLC",,1997 SLOAN PL STE 30,55117,651-383-3333,nppes,1376222547,TWIN CITIES CHILDREN'S GENERAL ANESTHESIA DENTISTRY,,1997 SLOAN PL,55117,301-494-3000,0
nppes:1700302742|nppes:1871632331,nppes,1700302742,"MICHAEL R HENRICKSON DDS, PLLC",TWIN CITIES MODERN DENTISTRY-BURNSVILLE,"14050 NICOLLET AVE, 205",55337,952-435-4177,nppes,1871632331,"RIDGE POINT DENTAL CLINIC, P.A.",SHELDON T. PETERSON DDS,"14050 NICOLLET AVE SO, SUITE 205",55337,952-435-4177,0
nppes:1023664935|nppes:1245393230,nppes,1023664935,"ESTEE WANG, DMD MS, PLLC",LAKES ORTHODONTICS,1668 COPE AVE E,55109,651-777-7300,nppes,1245393230,"LAKES ORTHODONTIC ASSOCIATES, P.A.",,1668 COPE AVE E,55109,651-777-7300,0
nppes:1144696063|nppes:1760667091,nppes,1144696063,SAWYER DENTAL LLC,MENDOTA DENTAL ASSOCIATES,"720 MAIN ST, SUITE 213",55118,651-209-9219,nppes,1760667091,MENDOTA DENTAL ASSOCIATES,,"720 MAIN ST, SUITE 213",55118,651-454-1502,0
nppes:1376687103|nppes:1952997421,nppes,1376687103,KILLIAN & MILNAR DENTISTRY PLLC,ARDEN DENTAL ASSOCIATES,"11806 ABERDEEN ST NE, SUITE 150",55449,763-786-1545,nppes,1952997421,"NODLANDMONDRY, P.L.L.C.",ABERDEEN DENTAL ASSOCIATES,11800 ABERDEEN ST NE STE 110,55449,402-560-8346,16
nppes:1043365992|nppes:1386489318,nppes,1043365992,"ARNOLD ORTHODONTICS, PA","THOMAS G. ARNOLD, DDS, MS",10920 175TH CT W,55044,952-892-5300,nppes,1386489318,"DENTALIGN, PA",TC ORTHODONTICS,10920 175TH COURT W,55044,952-892-5300,0
nppes:1659528891|nppes:1841366093,nppes,1659528891,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE APPLE VALLEY CEDAR|METRO DENTALCARE,14990 GLAZIER AVE,55124,952-431-5114,nppes,1841366093,"PDG, P.A.",PARK DENTAL,"14990 GLAZIER AVE, SUITE 100",55124,952-431-5114,0
nppes:1073862819|nppes:1548430101,nppes,1073862819,KENNETH B WEDDELL PLLC,,8900 PENN AVE S STE 211,55431,952-884-7706,nppes,1548430101,"RICHARD C. RENDER, D.D.S., P.A.",,"8900 PENN AVE S, SUITE 307",55431,952-884-7706,0
nppes:1376687103|nppes:1538220207,nppes,1376687103,KILLIAN & MILNAR DENTISTRY PLLC,ARDEN DENTAL ASSOCIATES,"11806 ABERDEEN ST NE, SUITE 150",55449,763-786-1545,nppes,1538220207,ABERDEEN DENTAL ASSOCIATES,,"11800 ABERDEEN ST NE, SUITE 110",55449,763-786-4280,16
nppes:1043807571|nppes:1679794176,nppes,1043807571,"PDG,P.A.",PARK DENTAL EDINBOROUGH WAY,3300 EDINBOROUGH WAY STE 210,55435,952-831-1112,nppes,1679794176,PAUL S STONE DDS KEITH E JOHNSON DDS AND ASSOCIATES PA,STONE AND JOHNSON DENTAL GROUP,"3300 EDINBOROUGH WAY, SUITE 210",55435,952-831-1112,
nppes:1275628331|nppes:1720918840,nppes,1275628331,"JAMES M. ERLANDSON, DDS, PA",,2185 WOODLANE DR,55125,651-731-1560,nppes,1720918840,ST. CROIX SLEEP PLLC,,2185 WOODLANE DR,55125,651-731-1560,0
nppes:1609095140|nppes:1679765929,nppes,1609095140,PLYMOUTH PLAZA DENTAL,,"1495 COUNTY ROAD 101 N, SUITE2",55447,763-476-6774,nppes,1679765929,PAUL BOETTNER D.D.S. PLLC,BAY CREEK DENTAL,"1495 COUNTY ROAD 101 N, SUITE 2",55447,763-476-6774,0
nppes:1063512234|nppes:1679673867,nppes,1063512234,"FAMILY PERIODONTIC SPECIALISTS, PLC",METRO DENTALCARE SPECIALTY CENTER RICHFIELD - PERIODONTICS,6601 LYNDALE AVE S STE 220,55423,612-861-9123,nppes,1679673867,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE RICHFIELD,6601 LYNDALE AVE S STE 220A,55423,612-866-1234,0
