osm_key,nppes_key,osm_source,osm_record_id,osm_name,osm_other_names,osm_address,osm_postal_code,osm_phone,nppes_source,nppes_record_id,nppes_name,nppes_other_names,nppes_address,nppes_postal_code,nppes_phone,distance_m
osm:node/10597376685,nppes:1073727293,osm,node/10597376685,Pediatric Dentistry,,,,,nppes,1073727293,FLORENA LLC,DR. ANGELA WANDERA AND ASSOCIATES,8785 COLUMBINE RD,55344,952-941-7393,71
osm:node/10597376689,nppes:1073727293,osm,node/10597376689,Anderson Lakes Dental,,8775 Columbine Road,55344,,nppes,1073727293,FLORENA LLC,DR. ANGELA WANDERA AND ASSOCIATES,8785 COLUMBINE RD,55344,952-941-7393,99
osm:node/10604807800,nppes:1316913411,osm,node/10604807800,Metro Dentalcare,,,,,nppes,1316913411,"METRO DENTALCARE, PLC",,17597 CEDAR AVE,55044,952-431-6600,
osm:node/10604807800,nppes:1497403810,osm,node/10604807800,Metro Dentalcare,,,,,nppes,1497403810,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE BROOKLYN CENTER,512 66TH AVE N,55430,763-560-3334,
osm:node/10604807800,nppes:1689324311,osm,node/10604807800,Metro Dentalcare,,,,,nppes,1689324311,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE MAPLE GROVE GROVE CIRCLE,9630 GROVE CIR N STE 102,55369,763-420-5484,
osm:node/10604807800,nppes:1881841021,osm,node/10604807800,Metro Dentalcare,,,,,nppes,1881841021,NORTHLAND DENTAL PARTNERS PLLC,METRO DENTALCARE,4670 PARK NICOLLET AVE SE,55372,952-447-7606,
osm:node/10604807800,nppes:1891443263,osm,node/10604807800,Metro Dentalcare,,,,,nppes,1891443263,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE WOODBURY,429 COMMERCE DR STE 400,55125,651-731-2342,
osm:node/10652451249,nppes:1255490389,osm,node/10652451249,Lakes Dental Clinic,,,,,nppes,1255490389,LAKES DENTAL ASSOC PA,LAKES DENTAL CLINIC,956 WEST BROADWAY,55025,651-464-7277,33
osm:node/10652451249,nppes:1619451192,osm,node/10652451249,Lakes Dental Clinic,,,,,nppes,1619451192,"MINNESOTA DENTAL PROFESSIONALS, P.C.",SOUTHWEST DENTAL CARE,107 12TH ST SW STE 2,55025,612-261-4998,232
osm:node/10681831525,nppes:1023681152,osm,node/10681831525,Minnesota Orthodontics,,,,,nppes,1023681152,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,650 COMMERCE DR STE 170,55125,651-738-3866,
osm:node/10681831525,nppes:1043715204,osm,node/10681831525,Minnesota Orthodontics,,,,,nppes,1043715204,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PILOT KNOB DENTAL CARE,16138 PILOT KNOB RD,55044,952-679-7779,53
osm:node/10681831525,nppes:1043715204-pl1,osm,node/10681831525,Minnesota Orthodontics,,,,,nppes,1043715204-pl1,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PILOT KNOB DENTAL CARE,16138 PILOT KNOB RD,55044,612-354-8875,53
osm:node/10681831525,nppes:1578505152-pl2,osm,node/10681831525,Minnesota Orthodontics,,,,,nppes,1578505152-pl2,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,14643 MERCANTILE DR N STE 113,55038,651-450-7273,
osm:node/10681831525,nppes:1578505152-pl4,osm,node/10681831525,Minnesota Orthodontics,,,,,nppes,1578505152-pl4,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,14643 MERCANTILE DR N STE 113,55038,651-450-7273,
osm:node/10681831525,nppes:1578505152-pl6,osm,node/10681831525,Minnesota Orthodontics,,,,,nppes,1578505152-pl6,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,16106 PILOT KNOB RD STE 120,55044,651-450-7273,65
osm:node/10737423667,nppes:1124198635,osm,node/10737423667,Rogers Dental Center,,,,,nppes,1124198635,A GENTLE DENTAL CENTER OF ROGERS,,"14115 JAMES RD, SUITE 303",55374,763-428-2226,
osm:node/10737423667,nppes:1386715704,osm,node/10737423667,Rogers Dental Center,,,,,nppes,1386715704,ROGERS DENTAL CENTER P.A.,,21410 136TH AVE NORTH SUITE #109,55374,763-428-2217,
osm:node/10737423667,nppes:1619496700,osm,node/10737423667,Rogers Dental Center,,,,,nppes,1619496700,ROGERS MINNESOTA ORTHODONTICS PLLC,ROGERS MINNESOTA ORTHODONTICS,13690 ROGERS DR STE 100,55374,651-450-7273,87
osm:node/11007656046,nppes:1043365992,osm,node/11007656046,Park Dental Lakeville,,,,,nppes,1043365992,"ARNOLD ORTHODONTICS, PA","THOMAS G. ARNOLD, DDS, MS",10920 175TH CT W,55044,952-892-5300,92
osm:node/11007656046,nppes:1255442620,osm,node/11007656046,Park Dental Lakeville,,,,,nppes,1255442620,LAKEVILLE FAMILY DENTAL CENTRE PA,,16375 KENRICK AVE STE 200,55044,952-435-5905,1799
osm:node/11007656046,nppes:1386489318,osm,node/11007656046,Park Dental Lakeville,,,,,nppes,1386489318,"DENTALIGN, PA",TC ORTHODONTICS,10920 175TH COURT W,55044,952-892-5300,92
osm:node/11007656046,nppes:1689732133,osm,node/11007656046,Park Dental Lakeville,,,,,nppes,1689732133,"PDG,P.A.",PARK DENTAL,"4670 PARK NICOLLET AVE SE, SUITE 100",55372,952-447-7606,
osm:node/11104668358,nppes:1588899199,osm,node/11104668358,Plaza Dental,,,,,nppes,1588899199,COSMOPOLITAN ORTHODONTICS LLC,,17757 JUNIPER PATH,55044,951-469-3333,68
osm:node/11104668359,nppes:1588899199,osm,node/11104668359,Cosmopolitan Orthodontics,,,,,nppes,1588899199,COSMOPOLITAN ORTHODONTICS LLC,,17757 JUNIPER PATH,55044,951-469-3333,33
osm:node/11166194880,nppes:1497991798,osm,node/11166194880,North St. Paul Dentistry,,"2601 Centennial Drive, 102",55109,+1-651-777-6454,nppes,1497991798,NORTH ST. PAUL DENTAL,,2082 11TH AVE E,55109,651-770-6260,1726
osm:node/11166194880,nppes:1619287562,osm,node/11166194880,North St. Paul Dentistry,,"2601 Centennial Drive, 102",55109,+1-651-777-6454,nppes,1619287562,NORTHDALE DENTIST PA,,"2147, NORTHDALE BLVD NW.",55433,763-497-6977,
osm:node/11166194880,nppes:1871755991,osm,node/11166194880,North St. Paul Dentistry,,"2601 Centennial Drive, 102",55109,+1-651-777-6454,nppes,1871755991,PAUL E. NELSON D.D.S.,,2377 MARGARET ST N,55109,651-777-3009,272
osm:node/11215325078,nppes:1518125160,osm,node/11215325078,Health Sense Dental,,"6140 Lake Linden Drive, 235",55331,,nppes,1518125160,"KELLY BOSWORTH, DDS, INC",,"6140 LAKE LINDEN DR, SUITE 230",55331,952-474-4123,66
osm:node/11332270945,nppes:1679618326,osm,node/11332270945,Ekim Orthodontics- Prior Lake,,,,,nppes,1679618326,BASILE ORTHODONTICS PA,PRIOR LAKE ORTHODONTICS,"5116 GATEWAY STREET SE #103, SUITE #103",55372,952-447-6088,922
osm:node/11332270945,nppes:1952582702,osm,node/11332270945,Ekim Orthodontics- Prior Lake,,,,,nppes,1952582702,"LILAH SUZAN EKIM DDS, MS. PLLC",EKIM ORTHODONTICS,16190 ERIE AVE SE,55372,952-447-6077,73
osm:node/11332270946,nppes:1952582702,osm,node/11332270946,Belland Family Dentistry,,,,,nppes,1952582702,"LILAH SUZAN EKIM DDS, MS. PLLC",EKIM ORTHODONTICS,16190 ERIE AVE SE,55372,952-447-6077,91
osm:node/11472428069,nppes:1023664935,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1023664935,"ESTEE WANG, DMD MS, PLLC",LAKES ORTHODONTICS,1668 COPE AVE E,55109,651-777-7300,83
osm:node/11472428069,nppes:1023681152,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1023681152,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,650 COMMERCE DR STE 170,55125,651-738-3866,
osm:node/11472428069,nppes:1154971380-pl1,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1154971380-pl1,GENTLE DENTISTRY OF BLOOMINGTON PLLC,,1714 COPE AVE E,55109,651-770-0055,148
osm:node/11472428069,nppes:1235429267,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1235429267,"FAMILY & COSMETIC GENTLE DENTISTRY, LTD",,1714 COPE AVE E,55109,651-770-0055,148
osm:node/11472428069,nppes:1245393230,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1245393230,"LAKES ORTHODONTIC ASSOCIATES, P.A.",,1668 COPE AVE E,55109,651-777-7300,83
osm:node/11472428069,nppes:1255974325-pl4,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1255974325-pl4,SMILE DOCTORS OF MINNESOTA PC,,1668 COPE AVE E,55109,651-777-7300,83
osm:node/11472428069,nppes:1508132663,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1508132663,LINH TRAN DDS LLC,QUALITY DENTISTRY,1736 COPE AVE E STE 2,55109,651-315-8868,240
osm:node/11472428069,nppes:1619065539,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1619065539,MAPLEWOOD DENTAL ASSOCIATES PA,,1736 EAST COPE AVE,55109,651-770-3831,240
osm:node/11472428069,nppes:1730782467,osm,node/11472428069,Lakes Orthodontics,,,,,nppes,1730782467,WHITE BEAR LAKE ORTHODONTICS,,4437 LAKE AVE S,55110,763-999-0055,
osm:node/11686430903,nppes:1932768157,osm,node/11686430903,Evergreen Dental,,7890 Mitchell Road,55344,,nppes,1932768157,"BRUCE MERRY DDS, PLLC",,7890 MITCHELL RD,55344,952-937-7677,59
osm:node/11711817393,nppes:1023681152,osm,node/11711817393,Ovation Orthodontics,,,,,nppes,1023681152,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,650 COMMERCE DR STE 170,55125,651-738-3866,
osm:node/11711817393,nppes:1326796764,osm,node/11711817393,Ovation Orthodontics,,,,,nppes,1326796764,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE MINNETONKA,6001 SHADY OAK RD S STE 300,55343,952-838-5530,207
osm:node/11777821189,nppes:1841417003,osm,node/11777821189,Town Dental - Chaska,,"1200 Chaska Creek Way, 150",55318,,nppes,1841417003,"TOWN DENTAL, PA",,407 CITY HALL PLZ,55318,952-448-3077,
osm:node/11780026077,nppes:1245315829,osm,node/11780026077,Town Dental - Excelsior,,425 2nd Street,55331,+1-952-295-1622,nppes,1245315829,EXCELSIOR FAMILY DENTAL,,"348 2ND ST, SUITE 200",55331,952-474-6515,112
osm:node/11780026077,nppes:1528997830,osm,node/11780026077,Town Dental - Excelsior,,425 2nd Street,55331,+1-952-295-1622,nppes,1528997830,LINDSAY BEVIS PLLC,,425 2ND ST,55331,952-474-6133,13
osm:node/11780026077,nppes:1639398886,osm,node/11780026077,Town Dental - Excelsior,,425 2nd Street,55331,+1-952-295-1622,nppes,1639398886,"TOWN DENTAL, PA",,425 2ND ST,55331,952-474-6133,13
osm:node/11780026077,nppes:1962460881,osm,node/11780026077,Town Dental - Excelsior,,425 2nd Street,55331,+1-952-295-1622,nppes,1962460881,"TOWN DENTAL, PA",,425 2ND ST,55331,952-474-6133,13
osm:node/11852879266,nppes:1114207362,osm,node/11852879266,Tranquility Dental,,"7415 Wayzata Boulevard, 201",55426,,nppes,1114207362,"TRANQUILITY DENTAL, P.A.",TRANQUILITY DENTAL,"7415 WAYZATA BLVD, STE 201",55426,952-334-3304,14
osm:node/1188081610,nppes:1245844588,osm,node/1188081610,Eden Lakes Dental,,,,,nppes,1245844588,DENNIS L KAIVO DDS PA,PRESERVE PARKWAY DENTAL,9613 ANDERSON LAKES PKWY,55344,952-947-0470,66
osm:node/11944869727,nppes:1053127852,osm,node/11944869727,Crescent Dental,,"2611 Innsbruck Drive, Suite A",55112,+1-763-571-4837,nppes,1053127852,RONALD H VESCIO DDS,,2677 INNSBRUCK DR STE B,55112,651-631-3777,60
osm:node/11944869727,nppes:1063887719,osm,node/11944869727,Crescent Dental,,"2611 Innsbruck Drive, Suite A",55112,+1-763-571-4837,nppes,1063887719,"PARKSIDE DENTAL, P.C.",,2677 INNSBRUCK DR STE B,55112,612-332-0559,60
osm:node/11944869727,nppes:1831963487,osm,node/11944869727,Crescent Dental,,"2611 Innsbruck Drive, Suite A",55112,+1-763-571-4837,nppes,1831963487,"SALMA HELAL, D.D.S., PLLC",,2611 INNSBRUCK DR STE A,55112,763-571-4837,25
osm:node/11968918163,nppes:1417447210,osm,node/11968918163,Hibernation Sleep MN,,"2233 Energy Park Drive, Suite 400",,,nppes,1417447210,HIBERNATION SLEEP MN LLC,,2233 ENERGY PARK DR STE 400,55108,651-888-4680,60
osm:node/11968918163,nppes:1417447210-pl1,osm,node/11968918163,Hibernation Sleep MN,,"2233 Energy Park Drive, Suite 400",,,nppes,1417447210-pl1,HIBERNATION SLEEP MN LLC,,2278 COMO AVE,55108,651-888-4680,794
osm:node/11988962361,nppes:1316913411,osm,node/11988962361,Metro Dentalcare Woodbury,,"429 Commerce Drive, 400",55125,,nppes,1316913411,"METRO DENTALCARE, PLC",,17597 CEDAR AVE,55044,952-431-6600,
osm:node/11988962361,nppes:1548659824,osm,node/11988962361,Metro Dentalcare Woodbury,,"429 Commerce Drive, 400",55125,,nppes,1548659824,"WOODBURY SMILES DENTISTRY, PC",WOODBURY SMILES DENTISTRY,"580 WOODBURY DR, SUITE 300",55125,651-731-1010,244
osm:node/11988962361,nppes:1881841021,osm,node/11988962361,Metro Dentalcare Woodbury,,"429 Commerce Drive, 400",55125,,nppes,1881841021,NORTHLAND DENTAL PARTNERS PLLC,METRO DENTALCARE,4670 PARK NICOLLET AVE SE,55372,952-447-7606,
osm:node/11988962361,nppes:1891443263,osm,node/11988962361,Metro Dentalcare Woodbury,,"429 Commerce Drive, 400",55125,,nppes,1891443263,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE WOODBURY,429 COMMERCE DR STE 400,55125,651-731-2342,
osm:node/11988975533,nppes:1154989507,osm,node/11988975533,Red Oak Family Dentist,,"9931 Hudson Boulevard North, 107",,,nppes,1154989507,RED OAK FAMILY DENTAL,,9939 HUDSON BLVD N # 107,55042,651-300-2334,124
osm:node/12020737355,nppes:1255870531,osm,node/12020737355,Dentists of Eden Prairie,,"13000 Technology Drive, 110",55344,,nppes,1255870531,"DENTISTS OF EDEN PRAIRIE, PC",DENTISTS OF EDEN PRAIRIE,"13000 TECHNOLOGY DR, SUITE 110",55344,952-562-1463,276
osm:node/12029268611,nppes:1023681152,osm,node/12029268611,Dunn Orthodontics,,,,,nppes,1023681152,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,650 COMMERCE DR STE 170,55125,651-738-3866,
osm:node/12029268611,nppes:1023681152-pl1,osm,node/12029268611,Dunn Orthodontics,,,,,nppes,1023681152-pl1,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,6936 PINE ARBOR DR S STE 220,55016,651-738-3866,65
osm:node/12029268611,nppes:1114333986,osm,node/12029268611,Dunn Orthodontics,,,,,nppes,1114333986,"DRESEN RESTORATIVE DENTISTRY, PA",,"6936 PINE ARBOR DR S, SUITE 210",55016,651-735-1585,65
osm:node/12029268611,nppes:1215673454,osm,node/12029268611,Dunn Orthodontics,,,,,nppes,1215673454,PROPER SLEEP EAST METRO PLLC,,6936 PINE ARBOR DR S STE 210,55016,651-769-1000,65
osm:node/12029268611,nppes:1427623966,osm,node/12029268611,Dunn Orthodontics,,,,,nppes,1427623966,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PINE ARBOR DENTAL CARE,6939 PINE ARBOR DR S STE 104,55016,651-459-3514,78
osm:node/12029268611,nppes:1720647589,osm,node/12029268611,Dunn Orthodontics,,,,,nppes,1720647589,LINDGREN DENTAL CARE PLLC,LINDGREN DENTAL CARE,6936 PINE ARBOR DR S STE 210,55016,651-769-1000,65
osm:node/12029268613,nppes:1023681152-pl1,osm,node/12029268613,Lindgren Dental Care,,,,,nppes,1023681152-pl1,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,6936 PINE ARBOR DR S STE 220,55016,651-738-3866,63
osm:node/12029268613,nppes:1114333986,osm,node/12029268613,Lindgren Dental Care,,,,,nppes,1114333986,"DRESEN RESTORATIVE DENTISTRY, PA",,"6936 PINE ARBOR DR S, SUITE 210",55016,651-735-1585,63
osm:node/12029268613,nppes:1215673454,osm,node/12029268613,Lindgren Dental Care,,,,,nppes,1215673454,PROPER SLEEP EAST METRO PLLC,,6936 PINE ARBOR DR S STE 210,55016,651-769-1000,63
osm:node/12029268613,nppes:1427623966,osm,node/12029268613,Lindgren Dental Care,,,,,nppes,1427623966,"MINNESOTA DENTAL PROFESSIONALS, P.C.",PINE ARBOR DENTAL CARE,6939 PINE ARBOR DR S STE 104,55016,651-459-3514,76
osm:node/12029268613,nppes:1720647589,osm,node/12029268613,Lindgren Dental Care,,,,,nppes,1720647589,LINDGREN DENTAL CARE PLLC,LINDGREN DENTAL CARE,6936 PINE ARBOR DR S STE 210,55016,651-769-1000,63
osm:node/12030487427,nppes:1255491866,osm,node/12030487427,Periodontal Specialists,,,,,nppes,1255491866,"INTEGRITY DENTAL CARE, P.A.",,7500 80TH ST S,55016,651-459-3039,56
osm:node/12030487427,nppes:1447193297-pl1,osm,node/12030487427,Periodontal Specialists,,,,,nppes,1447193297-pl1,MCFARLAND PLLC,,7501 80TH ST S STE 110,55016,651-459-7888,99
osm:node/12030487427,nppes:1578211991,osm,node/12030487427,Periodontal Specialists,,,,,nppes,1578211991,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE COTTAGE GROVE,7430 80TH ST S STE 201,55016,651-459-2232,138
osm:node/12030487427,nppes:1801068358,osm,node/12030487427,Periodontal Specialists,,,,,nppes,1801068358,AL M VIRGEN DMD PA,ALL SMILES DENTISTRY,"7501 80TH ST S, SUITE 2",55016,651-459-7888,99
osm:node/12032201393,nppes:1255491866,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1255491866,"INTEGRITY DENTAL CARE, P.A.",,7500 80TH ST S,55016,651-459-3039,180
osm:node/12032201393,nppes:1316913411,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1316913411,"METRO DENTALCARE, PLC",,17597 CEDAR AVE,55044,952-431-6600,
osm:node/12032201393,nppes:1447193297-pl1,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1447193297-pl1,MCFARLAND PLLC,,7501 80TH ST S STE 110,55016,651-459-7888,220
osm:node/12032201393,nppes:1497403810,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1497403810,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE BROOKLYN CENTER,512 66TH AVE N,55430,763-560-3334,
osm:node/12032201393,nppes:1578211991,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1578211991,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE COTTAGE GROVE,7430 80TH ST S STE 201,55016,651-459-2232,54
osm:node/12032201393,nppes:1689324311,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1689324311,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE MAPLE GROVE GROVE CIRCLE,9630 GROVE CIR N STE 102,55369,763-420-5484,
osm:node/12032201393,nppes:1801068358,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1801068358,AL M VIRGEN DMD PA,ALL SMILES DENTISTRY,"7501 80TH ST S, SUITE 2",55016,651-459-7888,220
osm:node/12032201393,nppes:1881841021,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1881841021,NORTHLAND DENTAL PARTNERS PLLC,METRO DENTALCARE,4670 PARK NICOLLET AVE SE,55372,952-447-7606,
osm:node/12032201393,nppes:1891443263,osm,node/12032201393,Metro Dentalcare,,,,,nppes,1891443263,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE WOODBURY,429 COMMERCE DR STE 400,55125,651-731-2342,
osm:node/12032201394,nppes:1255491866,osm,node/12032201394,Park Dental,,,,,nppes,1255491866,"INTEGRITY DENTAL CARE, P.A.",,7500 80TH ST S,55016,651-459-3039,157
osm:node/12032201394,nppes:1447193297-pl1,osm,node/12032201394,Park Dental,,,,,nppes,1447193297-pl1,MCFARLAND PLLC,,7501 80TH ST S STE 110,55016,651-459-7888,198
osm:node/12032201394,nppes:1578211991,osm,node/12032201394,Park Dental,,,,,nppes,1578211991,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE COTTAGE GROVE,7430 80TH ST S STE 201,55016,651-459-2232,62
osm:node/12032201394,nppes:1689732133,osm,node/12032201394,Park Dental,,,,,nppes,1689732133,"PDG,P.A.",PARK DENTAL,"4670 PARK NICOLLET AVE SE, SUITE 100",55372,952-447-7606,
osm:node/12032201394,nppes:1801068358,osm,node/12032201394,Park Dental,,,,,nppes,1801068358,AL M VIRGEN DMD PA,ALL SMILES DENTISTRY,"7501 80TH ST S, SUITE 2",55016,651-459-7888,198
osm:node/12032201394,nppes:1841417003,osm,node/12032201394,Park Dental,,,,,nppes,1841417003,"TOWN DENTAL, PA",,407 CITY HALL PLZ,55318,952-448-3077,
osm:node/12032201395,nppes:1255491866,osm,node/12032201395,Woodgrove Dental,,,,,nppes,1255491866,"INTEGRITY DENTAL CARE, P.A.",,7500 80TH ST S,55016,651-459-3039,168
osm:node/12032201395,nppes:1447193297-pl1,osm,node/12032201395,Woodgrove Dental,,,,,nppes,1447193297-pl1,MCFARLAND PLLC,,7501 80TH ST S STE 110,55016,651-459-7888,209
osm:node/12032201395,nppes:1578211991,osm,node/12032201395,Woodgrove Dental,,,,,nppes,1578211991,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE COTTAGE GROVE,7430 80TH ST S STE 201,55016,651-459-2232,57
osm:node/12032201395,nppes:1801068358,osm,node/12032201395,Woodgrove Dental,,,,,nppes,1801068358,AL M VIRGEN DMD PA,ALL SMILES DENTISTRY,"7501 80TH ST S, SUITE 2",55016,651-459-7888,209
osm:node/12099767280,nppes:1528182342,osm,node/12099767280,Bomstad Dental,,911 1st Street North,55343,+1 952-938-7746,nppes,1528182342,MAINSTREET DENTAL,,29 - 9TH AVENUE NORTH,55343,952-938-7341,130
osm:node/12099767280,nppes:1780764993,osm,node/12099767280,Bomstad Dental,,911 1st Street North,55343,+1 952-938-7746,nppes,1780764993,HATCHER AND BOMSTAD DDS LLC,,911 FIRST ST NORTH,55343,952-938-7746,72
osm:node/12124640947,nppes:1164758199,osm,node/12124640947,Boger Dental,,"2720 Annapolis Circle North, Suite A",55441,+1-763-546-7707,nppes,1164758199,"STEPHEN P. BOGER, DDS, PA",BOGER DENTAL,"2720 ANNAPOLIS CIRCLE, SUITE A",55441,763-546-7707,186
osm:node/12124640947,nppes:1750563227,osm,node/12124640947,Boger Dental,,"2720 Annapolis Circle North, Suite A",55441,+1-763-546-7707,nppes,1750563227,"FAMILY & COSMETIC GENTLE DENTISTRY, LTD",,13550 26TH AVE N STE 200,55441,763-557-0287,212
osm:node/12134351514,nppes:1023681152,osm,node/12134351514,Zirbel Orthodontics,,1480 Yankee Doodle Road,55121,+1 651-452-3333,nppes,1023681152,"ORTHODONTIC PARTNERS OF MINNESOTA, PLLC",DUNN ORTHODONTICS,650 COMMERCE DR STE 170,55125,651-738-3866,
osm:node/12134351514,nppes:1073376331,osm,node/12134351514,Zirbel Orthodontics,,1480 Yankee Doodle Road,55121,+1 651-452-3333,nppes,1073376331,GLASGOW FAMILY & COSMETIC DENTISTRY,,3440 FEDERAL DR STE 240,55122,651-994-8822,72
osm:node/12134351514,nppes:1790905966,osm,node/12134351514,Zirbel Orthodontics,,1480 Yankee Doodle Road,55121,+1 651-452-3333,nppes,1790905966,CASSANDRA L ZIRBEL DDS MS,ORTHODONTICS BY ZIRBEL,1480 YANKEE DOODLE RD,55121,651-452-3333,187
osm:node/12138867368,nppes:1083789929,osm,node/12138867368,50th and France Dental Care,,,,,nppes,1083789929,EDINA 5-O DENTAL PA,DREW F SPENCER DDS,"3948 W 50TH ST, SUITE 205",55424,952-922-8111,82
osm:node/12138867368,nppes:1194885491,osm,node/12138867368,50th and France Dental Care,,,,,nppes,1194885491,"50TH AND FRANCE DENTAL CARE, P.A.",,"3939 W 50TH ST, SUITE 210",55424,952-922-5561,81
osm:node/12138867368,nppes:1447506571,osm,node/12138867368,50th and France Dental Care,,,,,nppes,1447506571,GERALD D. CAVANAUGH & WILLIAM F. LILJEMARK,EDINA ORTHODONTIC ASSOCIATES,"3939 W. 50TH ST, SUITE #207",55424,952-926-2335,81
